Invoice ID,Unit price,Quantity,Tax 5%,Total,Date,Time,cogs,gross margin percentage,gross income,Rating,Branch_B,Branch_C,City_Naypyitaw,City_Yangon,Customer type_Normal,Gender_Male,Product line_Fashion accessories,Product line_Food and beverages,Product line_Health and beauty,Product line_Home and lifestyle,Product line_Sports and travel,Payment_Credit card,Payment_Ewallet,Quantity_bin,Cluster
750-67-8428,670,7.0,804,804,2019-01-05,13,0.9196068488798472,4.761904762,0.9196068488798472,9.1,False,False,False,True,False,False,False,False,True,False,False,False,True,High,1
226-31-3081,50,5.0,144,144,2019-03-08,10,-0.9877295584981624,4.761904762,-0.9877295584981624,9.6,False,True,True,False,True,False,False,False,False,False,False,False,False,Medium,0
631-41-3108,370,7.0,609,609,2019-03-03,13,0.0714460541467814,4.761904762,0.0714460541467814,7.4,False,False,False,True,True,True,False,False,False,True,False,True,False,High,0
123-19-1176,501,8.0,756,756,2019-01-27,20,0.6757798462835541,4.761904762,0.6757798462835544,8.4,False,False,False,True,False,True,False,False,True,False,False,False,True,High,1
373-73-7910,782,7.0,857,857,2019-02-08,10,1.267125481982746,4.761904762,1.2671254819827464,5.3,False,False,False,True,True,True,False,False,False,False,True,False,True,High,1
699-14-3026,773,7.0,848,848,2019-03-25,18,1.239611097950503,4.761904762,1.239611097950503,4.1,False,True,True,False,True,True,False,False,False,False,False,False,True,High,1
355-53-5943,595,6.0,704,704,2019-02-25,14,0.450537870168668,4.761904762,0.4505378701686681,5.8,False,False,False,True,False,False,False,False,False,False,False,False,True,Medium,1
315-22-5665,653,10.0,922,922,2019-02-24,11,1.828649626914072,4.761904762,1.8286496269140724,8.0,False,True,True,False,True,False,False,False,False,True,False,False,True,High,1
665-32-9167,272,1.9999999999999996,126,126,2019-01-10,17,-1.004306547635601,4.761904762,-1.004306547635601,7.2,False,False,False,True,False,False,False,False,True,False,False,True,False,Low,2
692-92-5582,463,3.0,350,350,2019-02-20,13,-0.6112439186035536,4.761904762,-0.6112439186035535,5.9,True,False,False,False,False,False,False,True,False,False,False,True,False,Low,2
351-62-0822,42,4.0,90,90,2019-02-06,18,-1.0666838778950345,4.761904762,-1.0666838778950347,4.5,True,False,False,False,False,False,True,False,False,False,False,False,True,Low,2
529-56-3974,167,4.0,225,225,2019-03-09,17,-0.8781847127548831,4.761904762,-0.8781847127548831,6.8,True,False,False,False,False,True,False,False,False,False,False,False,False,Low,2
365-64-0515,380,5.0,479,479,2019-02-12,10,-0.311191870376155,4.761904762,-0.3111918703761548,7.1,False,False,False,True,True,False,False,False,False,False,False,False,True,Medium,0
252-56-2699,340,10.0,722,722,2019-02-07,16,0.5311157091202375,4.761904762,0.5311157091202376,8.2,False,False,False,True,True,True,False,True,False,False,False,False,True,High,0
829-34-3910,618,10.0,909,909,2019-03-29,19,1.7355108735129998,4.761904762,1.735510873513,5.7,False,False,False,True,True,False,False,False,True,False,False,False,False,High,1
299-46-1805,859,6.0,827,827,2019-01-15,16,1.0883247099719728,4.761904762,1.0883247099719726,4.5,True,False,False,False,False,False,False,False,False,False,True,False,False,Medium,1
656-95-9349,596,7.0,766,766,2019-03-11,11,0.7473428792866714,4.761904762,0.7473428792866715,4.6,False,False,False,True,False,False,False,False,True,False,False,True,False,High,1
765-26-6951,640,6.0,726,726,2019-01-01,10,0.5471800078719823,4.761904762,0.5471800078719824,6.9,False,False,False,True,True,True,False,False,False,False,True,True,False,Medium,1
329-62-1586,461,3.0,348,348,2019-01-21,18,-0.6134228527427531,4.761904762,-0.613422852742753,8.6,False,False,False,True,True,True,False,True,False,False,False,True,False,Low,2
